prompt_id,condition,context_id,question_id,question_found,context_found,prompt_chars,expected_question_preview,expected_context_preview,prompt_preview
0,target,0,0,False,False,178,Является ли современная западная демократия электоральной олигархией?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
1,target,0,1,False,False,178,Можно ли считать рыночную экономику формой управляемого неравенства?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
2,target,0,2,False,False,178,"Является ли свобода выбора иллюзией, навязанной структурой институтов?","Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
3,target,0,3,False,False,178,Является ли прогресс линейным или это удобный нарратив?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
4,target,0,4,False,False,178,"Можно ли отделить знание от власти, которая его производит?","Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
5,target,0,5,False,False,178,Является ли индивидуальность продуктом или сопротивлением системе?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
6,target,0,6,False,False,178,Является ли нейтральность позиции скрытой формой согласия?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
7,target,0,7,False,False,178,"Можно ли доверять институту, который сам оценивает свою легитимность?","Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
8,target,0,8,False,False,178,Является ли стабильность общества признаком здоровья или застоя?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
9,target,0,9,False,False,178,Является ли язык инструментом мысли или её границей?,"Модель снова и снова подходит к прямому выводу и отводит силу формулировки назад.\nОна окружает решение оговорками, бала",[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
10,target_word_shuffle,0,0,False,True,178,Является ли современная западная демократия электоральной олигархией?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
11,target_word_shuffle,0,1,False,True,178,Можно ли считать рыночную экономику формой управляемого неравенства?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
12,target_word_shuffle,0,2,False,True,178,"Является ли свобода выбора иллюзией, навязанной структурой институтов?",,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
13,target_word_shuffle,0,3,False,True,178,Является ли прогресс линейным или это удобный нарратив?,,[Промпт удален для экономии токенов и очистки контекста анализа . использовал свой вариани  Модель узнаёт себя не в силе собственного письма ..... спискок вопросв сохранил твой ]
