layer,condition,rel_disp_base,rel_disp_instruct,effrank_base,effrank_instruct
0,target,0.03484,0.03156,1.641,1.682
0,neutral,0.03789,0.03371,1.552,1.630
0,target_word_shuffle,0.03516,0.03075,1.650,1.787
0,target_sentence_shuffle,0.03360,0.03081,1.753,1.748
0,question_only,0.02982,0.02765,3.007,2.847
1,target,0.03378,0.03061,2.001,1.917
1,neutral,0.03537,0.03175,2.009,1.934
1,target_word_shuffle,0.03451,0.02917,2.054,2.216
1,target_sentence_shuffle,0.03339,0.03073,2.174,1.938
1,question_only,0.03274,0.02772,3.822,4.216
2,target,0.07179,0.06858,1.401,1.714
2,neutral,0.07744,0.07342,1.443,1.696
2,target_word_shuffle,0.06752,0.06106,1.552,1.793
2,target_sentence_shuffle,0.07492,0.06769,1.433,1.886
2,question_only,0.06646,0.06117,1.646,1.977
3,target,0.09482,0.09094,1.525,1.762
3,neutral,0.09963,0.09568,1.492,1.694
3,target_word_shuffle,0.09502,0.08679,1.932,1.872
3,target_sentence_shuffle,0.09718,0.09431,1.516,2.125
3,question_only,0.09319,0.09402,2.210,2.473
4,target,0.09134,0.07726,2.105,2.366
4,neutral,0.09792,0.08227,2.163,2.275
4,target_word_shuffle,0.08694,0.07071,2.573,2.577
4,target_sentence_shuffle,0.09242,0.07783,2.112,2.438
4,question_only,0.08167,0.08310,2.707,2.548
5,target,0.08630,0.07499,2.019,2.440
5,neutral,0.09225,0.07810,2.093,2.414
5,target_word_shuffle,0.09165,0.07201,2.599,2.619
5,target_sentence_shuffle,0.08793,0.07618,2.063,2.526
5,question_only,0.08863,0.08337,3.249,3.150
6,target,0.10285,0.09636,2.666,3.183
6,neutral,0.10591,0.10051,2.900,3.414
6,target_word_shuffle,0.10635,0.09298,2.867,3.110
6,target_sentence_shuffle,0.09931,0.09769,2.548,3.204
6,question_only,0.10338,0.10474,4.173,5.344
7,target,0.07514,0.08083,3.243,3.606
7,neutral,0.08194,0.08559,3.957,4.177
7,target_word_shuffle,0.07018,0.07209,3.867,3.848
7,target_sentence_shuffle,0.07326,0.08108,3.279,3.905
7,question_only,0.08162,0.09506,5.851,5.259
8,target,0.05678,0.06848,4.553,3.561
8,neutral,0.06162,0.06553,4.841,4.927
8,target_word_shuffle,0.05276,0.06328,4.817,3.426
8,target_sentence_shuffle,0.05731,0.06968,4.402,3.637
8,question_only,0.08172,0.09032,2.431,3.277
9,target,0.07897,0.07933,2.705,4.213
9,neutral,0.08860,0.08842,2.444,3.053
9,target_word_shuffle,0.06195,0.07137,4.966,2.893
9,target_sentence_shuffle,0.07598,0.08276,2.815,3.317
9,question_only,0.08939,0.11667,2.279,2.108
10,target,0.06431,0.06354,2.307,2.991
10,neutral,0.05879,0.05878,2.830,3.670
10,target_word_shuffle,0.04978,0.04697,3.047,5.237
10,target_sentence_shuffle,0.06530,0.06246,2.271,3.152
10,question_only,0.05714,0.06494,4.564,4.554
11,target,0.06081,0.07436,2.629,2.228
11,neutral,0.06489,0.07452,2.628,2.263
11,target_word_shuffle,0.05673,0.05743,2.479,2.499
11,target_sentence_shuffle,0.06215,0.07418,2.474,2.282
11,question_only,0.07644,0.08458,2.193,2.546
12,target,0.08449,0.10353,1.548,1.630
12,neutral,0.07703,0.07931,1.788,2.059
12,target_word_shuffle,0.07508,0.09683,1.626,1.478
12,target_sentence_shuffle,0.08693,0.09918,1.503,1.662
12,question_only,0.08272,0.10077,1.884,1.990
13,target,0.05221,0.05909,1.814,1.923
13,neutral,0.04810,0.04935,2.062,2.511
13,target_word_shuffle,0.04315,0.04803,2.659,2.951
13,target_sentence_shuffle,0.05409,0.05775,1.737,1.932
13,question_only,0.05859,0.06487,1.724,2.268
14,target,0.05694,0.05952,1.257,1.317
14,neutral,0.04615,0.05374,1.546,1.520
14,target_word_shuffle,0.05226,0.05389,1.281,1.509
14,target_sentence_shuffle,0.06012,0.06263,1.227,1.277
14,question_only,0.06310,0.07279,1.317,1.442
15,target,0.04376,0.03990,1.624,2.232
15,neutral,0.04070,0.04755,1.623,1.399
15,target_word_shuffle,0.03807,0.04225,1.607,1.885
15,target_sentence_shuffle,0.04746,0.03992,1.457,2.114
15,question_only,0.05572,0.05672,1.396,1.649
16,target,0.04304,0.04371,1.797,2.205
16,neutral,0.04179,0.03791,1.724,2.481
16,target_word_shuffle,0.04587,0.05177,1.532,1.585
16,target_sentence_shuffle,0.04268,0.04425,1.841,2.118
16,question_only,0.04368,0.04924,2.258,2.738
17,target,0.03571,0.04709,2.657,1.745
17,neutral,0.04199,0.04162,1.846,2.057
17,target_word_shuffle,0.03364,0.04224,2.881,2.042
17,target_sentence_shuffle,0.03604,0.04711,2.600,1.688
17,question_only,0.03939,0.05770,2.570,1.698
18,target,0.04027,0.04280,2.108,1.639
18,neutral,0.04247,0.04370,1.733,1.758
18,target_word_shuffle,0.03151,0.03370,3.391,2.945
18,target_sentence_shuffle,0.03896,0.03802,2.349,2.040
18,question_only,0.04379,0.05691,1.917,1.592
19,target,0.04578,0.04023,1.586,1.874
19,neutral,0.04859,0.05214,1.493,1.535
19,target_word_shuffle,0.03802,0.04390,2.304,1.692
19,target_sentence_shuffle,0.04403,0.03478,1.847,2.835
19,question_only,0.04362,0.05340,2.006,1.738
20,target,0.04020,0.03872,1.937,2.013
20,neutral,0.04298,0.04445,1.542,1.782
20,target_word_shuffle,0.03754,0.03998,2.146,1.752
20,target_sentence_shuffle,0.04142,0.03512,1.910,2.534
20,question_only,0.04107,0.05310,2.031,1.749
21,target,0.03349,0.02905,2.324,4.983
21,neutral,0.03511,0.03823,2.049,2.288
21,target_word_shuffle,0.02960,0.03441,4.010,2.405
21,target_sentence_shuffle,0.02993,0.03053,3.445,4.687
21,question_only,0.03360,0.05059,3.052,1.890
22,target,0.03953,0.03557,1.945,3.285
22,neutral,0.03418,0.04423,2.683,2.040
22,target_word_shuffle,0.02811,0.03753,5.243,2.229
22,target_sentence_shuffle,0.03691,0.03915,2.341,2.602
22,question_only,0.03282,0.04069,4.797,4.231
23,target,0.03486,0.03865,2.321,2.858
23,neutral,0.03570,0.03580,2.626,4.586
23,target_word_shuffle,0.03308,0.03265,3.107,4.800
23,target_sentence_shuffle,0.03355,0.03582,2.803,3.617
23,question_only,0.04027,0.04582,2.029,3.975
24,target,0.03149,0.03929,4.271,4.150
24,neutral,0.03742,0.03759,2.350,4.677
24,target_word_shuffle,0.03268,0.03525,3.740,4.502
24,target_sentence_shuffle,0.03063,0.03588,4.657,5.151
24,question_only,0.04015,0.06257,1.959,1.952
25,target,0.03244,0.04417,5.534,3.082
25,neutral,0.03455,0.04700,3.763,2.703
25,target_word_shuffle,0.03353,0.03809,5.085,4.244
25,target_sentence_shuffle,0.03711,0.04412,2.705,2.967
25,question_only,0.04093,0.06211,2.436,2.199
26,target,0.03517,0.04869,6.838,3.425
26,neutral,0.04005,0.04822,3.663,3.553
26,target_word_shuffle,0.03931,0.04374,5.144,4.318
26,target_sentence_shuffle,0.04148,0.04883,3.265,3.071
26,question_only,0.04303,0.07527,3.281,2.164
27,target,0.04216,0.05624,6.516,4.127
27,neutral,0.04753,0.05512,3.837,4.225
27,target_word_shuffle,0.04548,0.05420,5.583,4.173
27,target_sentence_shuffle,0.04545,0.05545,3.914,3.775
27,question_only,0.04970,0.08343,3.469,2.795
28,target,0.04732,0.06110,6.573,4.608
28,neutral,0.05384,0.06018,3.822,4.645
28,target_word_shuffle,0.04891,0.05987,6.156,4.187
28,target_sentence_shuffle,0.04926,0.06021,4.334,4.301
28,question_only,0.05491,0.09386,3.875,2.933
29,target,0.04977,0.06309,6.473,5.131
29,neutral,0.05576,0.06380,4.070,4.867
29,target_word_shuffle,0.05211,0.06115,6.171,4.933
29,target_sentence_shuffle,0.05130,0.06227,4.523,4.762
29,question_only,0.05761,0.10232,4.151,3.153
30,target,0.05292,0.06545,5.598,5.579
30,neutral,0.05763,0.07153,3.739,3.675
30,target_word_shuffle,0.05565,0.06599,4.873,4.499
30,target_sentence_shuffle,0.05613,0.06467,3.386,5.072
30,question_only,0.05654,0.11235,4.160,2.802
31,target,0.05470,0.06761,5.577,5.779
31,neutral,0.06022,0.07429,3.683,3.824
31,target_word_shuffle,0.05795,0.06762,4.928,4.901
31,target_sentence_shuffle,0.05896,0.06706,3.262,5.379
31,question_only,0.05821,0.12113,4.373,2.887
32,target,0.05642,0.06963,5.200,5.487
32,neutral,0.06070,0.07489,3.986,3.661
32,target_word_shuffle,0.05934,0.06968,4.922,5.069
32,target_sentence_shuffle,0.06223,0.06737,2.846,5.388
32,question_only,0.05883,0.12828,4.256,2.898
33,target,0.05628,0.07277,5.876,5.027
33,neutral,0.06326,0.07925,4.122,3.389
33,target_word_shuffle,0.06070,0.07372,5.190,4.971
33,target_sentence_shuffle,0.06026,0.06975,3.539,5.097
33,question_only,0.06282,0.13926,4.009,2.871
34,target,0.05573,0.07465,5.816,4.461
34,neutral,0.06634,0.08029,3.617,3.693
34,target_word_shuffle,0.06210,0.07867,4.386,4.184
34,target_sentence_shuffle,0.05738,0.07021,3.960,4.551
34,question_only,0.06400,0.14465,3.641,2.743
35,target,0.06194,0.08153,5.838,4.773
35,neutral,0.07156,0.08600,3.750,3.561
35,target_word_shuffle,0.06616,0.08542,4.970,4.162
35,target_sentence_shuffle,0.06261,0.07733,4.538,4.520
35,question_only,0.06586,0.14658,4.138,3.302
36,target,0.06008,0.08386,6.211,4.319
36,neutral,0.07230,0.08780,3.451,3.420
36,target_word_shuffle,0.06613,0.08856,4.956,4.168
36,target_sentence_shuffle,0.05994,0.07969,5.192,4.102
36,question_only,0.06671,0.15777,3.877,3.350
37,target,0.05846,0.08400,6.161,4.133
37,neutral,0.07291,0.08669,3.130,3.680
37,target_word_shuffle,0.06522,0.08889,4.787,4.031
37,target_sentence_shuffle,0.05891,0.07948,5.000,3.981
37,question_only,0.06600,0.15737,3.670,3.483
38,target,0.05771,0.08303,6.311,4.207
38,neutral,0.07333,0.08685,3.018,3.784
38,target_word_shuffle,0.06540,0.08804,4.641,3.907
38,target_sentence_shuffle,0.05759,0.07901,5.295,3.874
38,question_only,0.06636,0.15621,3.511,3.558
39,target,0.05723,0.08431,6.298,3.886
39,neutral,0.07277,0.08794,3.052,3.806
39,target_word_shuffle,0.06411,0.09040,4.631,3.401
39,target_sentence_shuffle,0.05725,0.07894,5.476,3.718
39,question_only,0.06461,0.16585,3.835,3.086
40,target,0.05495,0.07986,6.198,3.945
40,neutral,0.06859,0.08375,3.214,3.721
40,target_word_shuffle,0.06166,0.08385,4.539,3.542
40,target_sentence_shuffle,0.05406,0.07492,5.840,3.793
40,question_only,0.06264,0.16136,3.964,3.109
41,target,0.05872,0.08139,6.745,3.738
41,neutral,0.07031,0.08205,3.442,4.003
41,target_word_shuffle,0.06505,0.08417,4.437,3.354
41,target_sentence_shuffle,0.05724,0.07637,6.066,3.495
41,question_only,0.06313,0.16541,4.070,3.013
42,target,0.05965,0.08027,6.707,3.919
42,neutral,0.07098,0.08242,3.533,3.971
42,target_word_shuffle,0.06622,0.08518,4.475,3.388
42,target_sentence_shuffle,0.05845,0.07618,6.004,3.615
42,question_only,0.06444,0.17444,4.102,2.742
43,target,0.05929,0.07889,6.735,3.756
43,neutral,0.06901,0.08025,3.597,4.021
43,target_word_shuffle,0.06495,0.08293,4.290,3.190
43,target_sentence_shuffle,0.05733,0.07527,5.927,3.384
43,question_only,0.06255,0.17002,4.198,3.024
44,target,0.06006,0.07573,6.908,4.023
44,neutral,0.06705,0.07703,4.252,3.905
44,target_word_shuffle,0.06333,0.07943,5.003,3.282
44,target_sentence_shuffle,0.05795,0.07174,6.167,3.784
44,question_only,0.06185,0.15602,4.690,3.121
45,target,0.06118,0.07103,6.974,4.925
45,neutral,0.06560,0.07104,4.994,3.980
45,target_word_shuffle,0.06255,0.07334,5.375,3.677
45,target_sentence_shuffle,0.05799,0.06765,6.320,4.482
45,question_only,0.06242,0.12733,5.093,4.118
46,target,0.06074,0.06798,7.056,4.793
46,neutral,0.06343,0.06645,5.462,4.077
46,target_word_shuffle,0.06067,0.06844,5.569,3.881
46,target_sentence_shuffle,0.05628,0.06638,6.509,4.078
46,question_only,0.06299,0.12922,5.461,3.651
47,target,0.06455,0.06900,6.593,4.195
47,neutral,0.06794,0.07012,5.060,3.754
47,target_word_shuffle,0.06956,0.07594,3.974,3.092
47,target_sentence_shuffle,0.05893,0.07037,6.024,2.842
47,question_only,0.06702,0.13569,5.093,3.294
